atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
3;1;0;1;0;1;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;3;19;5;2;0;ruim
3;1;0;1;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;6;4;2;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;18;7;2;0;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;13;15;0;1;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;16;13;1;0;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;14;3;2;1;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;10;2;0;ruim
4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;11;16;2;1;bom
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;17;9;0;0;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;10;19;0;1;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;20;18;2;0;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;19;5;2;0;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;2;1;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;5;17;0;1;ruim
4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;18;7;2;0;bom
5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;bom
5;1;2;1;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;3;17;9;0;1;ruim
5;1;0;1;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;1;10;19;2;0;ruim
3;1;0;1;0;1;1;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;2;11;0;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;6;0;0;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;15;12;0;0;ruim
3;1;0;1;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;1;16;13;1;0;bom
3;1;2;1;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;2;14;3;2;1;ruim
3;0;0;1;0;1;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2;11;16;2;1;ruim
3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;17;9;0;0;excelente
3;1;1;1;0;4;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;2;10;19;0;1;ruim
3;1;0;1;0;1;0;1;0;1;0;2;0;4;0;0;0;0;0;0;0;0;0;2;1;20;18;2;0;excelente
3;0;0;1;0;4;2;0;2;1;2;2;0;1;0;0;0;0;0;0;0;0;0;2;2;6;4;2;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;5;17;0;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;18;7;2;0;ruim
3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;17;9;0;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;19;2;0;ruim
3;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;12;6;0;0;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;8;2;1;ruim
3;1;0;1;0;0;0;1;2;0;0;2;0;3;0;0;0;0;0;0;0;0;0;2;1;9;14;2;1;ruim
3;1;0;1;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;1;0;0;0;2;3;13;15;0;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;16;13;1;0;ruim
3;1;0;1;0;4;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;2;14;3;2;1;ruim
3;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;4;10;2;0;ruim
3;1;0;1;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;2;11;16;2;1;ruim
3;1;0;1;0;0;0;0;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;2;3;17;9;0;0;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;20;18;2;0;ruim
3;1;0;1;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3;19;5;2;0;ruim
3;1;0;1;0;2;0;0;2;0;0;0;0;5;0;0;0;1;0;0;0;0;0;2;2;6;4;2;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;17;9;0;1;ruim
3;1;0;1;0;3;0;0;1;0;0;3;0;4;0;0;0;0;0;1;0;0;0;2;3;20;18;2;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;19;5;2;1;ruim
3;1;0;1;0;2;0;0;3;0;0;2;1;0;0;0;0;0;0;0;0;0;0;2;2;6;4;0;0;ruim
3;1;0;1;0;1;0;0;1;0;0;0;0;6;0;0;0;0;0;0;0;0;0;2;3;5;17;0;0;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;2;0;0;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;0;0;ruim
3;0;0;1;0;0;0;2;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;1;2;11;0;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;6;0;0;ruim
3;1;0;1;0;0;0;1;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;2;2;7;8;2;1;ruim
3;1;0;1;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;1;9;14;2;1;ruim
3;1;0;1;0;2;0;0;1;0;0;1;1;3;0;0;0;0;0;0;0;0;0;2;3;13;15;0;1;ruim
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;16;13;1;0;ruim
3;1;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;2;14;3;2;1;ruim
3;1;0;1;0;5;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;1;4;10;2;0;ruim
3;1;0;1;0;2;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;2;11;16;2;1;ruim
3;1;0;1;0;1;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;2;3;17;9;0;0;ruim
3;1;0;1;0;1;0;0;1;0;0;3;1;1;0;0;0;0;0;0;0;0;0;2;2;10;19;0;1;bom
3;1;2;1;0;0;0;0;3;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;1;20;18;2;0;ruim
3;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;3;19;5;2;0;ruim
3;1;0;1;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;2;6;4;2;1;ruim
3;1;0;1;0;4;0;0;2;0;0;2;0;5;0;0;0;0;0;0;0;0;0;2;1;5;17;0;1;ruim
3;1;0;1;0;1;0;0;2;0;0;1;0;6;0;0;0;0;0;0;0;0;0;2;2;18;7;2;0;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;17;9;0;1;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;1;10;19;2;0;excelente
0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;20;18;2;1;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;18;7;0;1;ruim
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;0;0;ruim
0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;12;6;0;0;ruim
0;1;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;1;9;14;2;1;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;15;12;0;0;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;2;3;13;15;0;1;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;16;13;1;0;ruim
0;1;0;1;0;2;0;0;2;0;1;0;0;7;0;0;0;0;0;0;0;0;0;2;2;14;3;2;1;ruim
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;11;16;2;1;ruim
0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;2;10;19;0;1;ruim
0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;excelente
0;0;0;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;3;20;18;2;1;ruim
0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;19;5;2;1;bom
0;1;2;2;0;5;0;3;2;0;1;3;1;1;1;0;0;0;0;0;0;0;0;2;2;6;4;0;0;ruim
0;1;0;2;0;4;0;1;2;0;0;1;0;4;0;0;0;0;0;0;0;0;0;2;3;5;17;0;0;ruim
0;1;0;2;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;2;1;8;2;0;0;ruim
0;1;0;2;0;1;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;2;1;2;11;0;1;ruim
0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;4;10;2;0;ruim
0;0;1;2;0;2;0;0;3;1;0;1;1;2;1;0;0;0;0;0;0;0;0;2;3;17;9;0;0;ruim
0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;10;19;0;1;ruim
0;0;0;2;0;0;0;0;5;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;20;18;2;0;ruim
0;1;0;1;0;2;0;1;4;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;3;19;5;2;0;ruim
0;1;0;1;0;1;0;1;2;0;0;0;0;3;0;0;0;0;0;1;0;0;0;2;1;5;17;0;1;ruim
0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;18;7;2;0;bom
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;excelente
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;17;9;0;1;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;10;19;2;0;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;20;18;2;1;ruim
4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;19;5;2;1;bom
4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;0;0;bom
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;17;0;0;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;18;7;0;1;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;8;2;0;0;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;0;0;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;11;0;1;ruim
4;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;6;0;0;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;7;8;2;1;ruim
4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;9;14;2;1;ruim
5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;14;3;2;1;ruim
5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;11;16;2;1;ruim
5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;20;18;2;0;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;excelente
2;1;1;2;0;0;1;1;1;1;1;1;0;2;0;1;0;0;0;0;0;0;0;2;3;17;9;0;1;ruim
2;1;0;2;0;3;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;10;19;2;0;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;6;0;0;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;15;12;0;0;bom
2;1;2;2;0;0;0;0;2;0;0;2;0;8;1;0;0;0;0;0;0;0;0;2;3;13;15;0;1;ruim
2;1;0;2;0;1;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;1;16;13;1;0;bom
2;1;2;2;0;1;0;1;2;0;0;0;0;3;0;1;0;0;0;0;0;0;0;2;2;14;3;2;1;bom
2;1;1;2;0;1;0;1;1;0;0;5;1;1;0;1;0;0;0;0;0;0;0;2;2;11;16;2;1;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;17;9;0;0;ruim
2;1;0;2;0;1;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;2;2;10;19;0;1;ruim
2;1;0;2;0;4;1;0;2;0;0;3;1;5;0;0;0;0;0;0;0;0;0;2;1;20;18;2;0;excelente
2;1;1;2;0;2;0;0;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;2;3;19;5;2;0;bom
2;1;2;2;0;2;0;1;1;0;0;3;0;4;0;1;0;0;0;0;0;0;0;2;2;6;4;2;1;ruim
2;0;0;2;0;2;2;0;2;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;2;18;7;2;0;ruim
0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;10;19;0;1;ruim
0;0;0;1;0;2;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;18;7;2;0;ruim
2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;20;18;2;1;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;19;5;2;1;excelente
2;1;1;1;0;0;0;0;2;2;0;3;0;2;0;0;0;0;0;0;0;0;0;2;2;6;4;0;0;bom
2;1;2;1;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;2;3;5;17;0;0;ruim
2;1;0;1;0;1;0;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;18;7;0;1;ruim
2;1;0;1;0;1;0;0;2;0;0;2;1;1;0;0;0;0;0;0;0;0;0;2;1;8;2;0;0;ruim
2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;0;0;ruim
2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;7;8;2;1;ruim
2;1;0;1;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;0;0;0;2;1;9;14;2;1;bom
2;0;2;1;0;0;0;3;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;2;1;15;12;0;0;bom
2;1;2;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;13;15;0;1;bom
2;1;2;1;0;1;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;1;16;13;1;0;ruim
2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4;10;2;0;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;11;16;2;1;excelente
2;1;1;1;0;3;1;0;1;0;1;6;0;3;0;1;0;0;0;0;0;0;0;2;3;17;9;0;0;ruim
2;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;10;19;0;1;ruim
2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;20;18;2;0;ruim
2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;18;7;2;0;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;excelente
2;1;0;2;0;0;0;0;1;0;0;4;0;2;0;1;0;0;0;0;0;0;0;2;3;17;9;0;1;ruim
2;1;1;2;0;1;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;2;1;10;19;2;0;bom
2;1;0;2;0;0;1;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;3;20;18;2;1;ruim
2;1;2;2;0;2;0;0;3;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2;1;19;5;2;1;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;4;0;0;bom
2;1;0;2;0;3;0;0;1;0;0;4;1;0;0;1;0;0;0;0;0;0;0;2;3;5;17;0;0;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;2;0;0;ruim
2;1;0;2;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;2;1;2;11;0;1;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;6;0;0;excelente
2;0;0;2;0;1;0;1;2;0;0;4;0;3;0;1;0;0;0;0;0;0;0;2;2;7;8;2;1;ruim
2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;10;19;0;1;ruim
2;1;0;2;0;0;0;0;1;0;1;3;0;2;0;0;0;0;0;0;0;0;0;2;1;20;18;2;0;ruim
2;1;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;19;5;2;0;excelente
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;10;19;2;0;ruim
1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;20;18;2;1;ruim
1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;4;0;0;0;0;2;1;19;5;2;1;bom
