atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
5;1;0;1;0;1;0;0;1;0;0;3;0;3;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;bom
4;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;bom
3;1;0;1;0;1;0;1;1;0;0;3;0;6;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;ruim
3;1;0;1;0;1;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;ruim
0;1;0;1;0;3;0;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;ruim
2;1;1;2;0;1;1;0;0;0;0;7;0;3;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;bom
1;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;2;1;3;1;2;0;bom
3;1;0;1;0;3;0;0;1;0;0;2;0;5;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;ruim
3;1;0;1;0;0;1;0;3;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;bom
5;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;3;1;2;0;bom
2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;2;0;bom
3;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;3;1;2;0;ruim
2;1;0;1;1;0;0;0;3;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;ruim
0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;ruim
3;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;ruim
1;1;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;1;7;0;0;0;ruim
3;1;0;1;1;2;0;2;2;0;0;2;1;3;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;ruim
2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;ruim
0;1;0;2;1;2;0;1;2;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;ruim
3;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;ruim
5;1;0;1;1;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;ruim
5;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;7;0;0;0;ruim
0;1;0;2;1;2;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;ruim
4;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;7;0;0;0;ruim
5;1;0;1;2;0;0;0;0;0;0;1;1;4;0;1;0;0;0;0;0;0;0;2;3;7;16;0;0;bom
2;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;16;0;0;ruim
5;1;2;2;2;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;2;3;7;16;0;0;excelente
1;1;2;2;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;7;16;0;0;bom
0;1;2;1;2;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;3;7;16;0;0;ruim
0;1;2;2;2;2;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;7;16;0;0;ruim
3;1;1;2;2;1;0;0;3;1;0;0;0;3;1;0;0;1;0;0;0;0;0;2;3;7;16;0;0;ruim
3;1;0;1;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;2;3;7;16;0;0;ruim
3;1;2;1;2;1;0;2;1;1;0;2;1;4;0;0;0;0;0;0;0;0;0;2;3;7;16;0;0;bom
2;1;1;1;2;2;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;2;3;7;16;0;0;bom
4;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;7;16;0;0;bom
