atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
5;1;0;1;3;1;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;2;2;10;11;0;1;ruim
1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;10;11;0;1;bom
5;1;1;1;3;1;0;0;1;0;0;4;0;1;0;1;0;0;0;0;0;0;0;2;2;10;11;0;1;ruim
3;1;2;0;3;1;0;2;2;0;0;3;0;1;0;0;0;0;0;0;0;0;0;2;2;10;11;0;1;excelente
2;1;2;1;3;0;0;1;1;0;1;1;0;2;0;1;0;0;0;0;0;0;0;2;2;10;11;0;1;ruim
3;1;0;1;3;3;0;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;2;10;11;0;1;ruim
3;1;0;1;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;10;11;0;1;ruim
2;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;18;18;2;0;ruim
0;1;2;1;4;3;0;0;6;1;1;0;0;1;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
3;1;2;2;4;0;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
0;1;0;1;4;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
1;1;2;1;4;0;0;0;1;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;2;18;18;2;0;ruim
5;1;0;2;4;1;0;1;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;bom
2;1;0;1;4;2;0;1;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;ruim
3;1;0;1;4;2;1;0;2;0;1;1;0;4;0;0;0;0;0;0;0;0;0;2;2;18;18;2;0;excelente
