atletas.posicao_id;atletas.status_id;pontos.rodada.ant;atletas.preco_num;atletas.clube.id.full.name;FC;FD;FF;FS;G;I;RB;CA;PE;A;SG;DD;FT;GS;CV;GC;PP;DP;jogou.partida.ant;vitoria.ou.derrota.ant;confronto.ant;confronto.atual;pontuacao_rodada_anterior_ADV;sede.rodada.atual;classificacao
4;1;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;13;2;1;0;bom
2;1;0;1;17;1;0;0;2;0;0;1;1;2;0;0;0;0;0;0;0;0;0;2;1;13;2;1;0;ruim
2;1;2;2;17;2;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;2;1;13;2;1;0;bom
1;1;0;1;17;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;2;1;13;2;1;0;bom
5;1;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;13;2;1;0;bom
0;1;0;1;17;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;1;13;2;1;0;ruim
3;1;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;13;2;1;0;ruim
5;1;0;1;18;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
2;1;1;1;18;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;2;3;9;16;2;1;bom
5;1;0;1;18;1;0;1;1;0;0;1;1;2;0;1;0;0;0;0;0;0;0;2;3;9;16;2;1;bom
0;1;2;1;18;1;0;2;1;1;0;1;1;3;0;0;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
2;1;1;1;18;1;0;1;3;0;0;3;0;1;0;1;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
1;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;16;2;1;ruim
3;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;16;2;1;ruim
2;1;1;2;18;1;0;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
5;1;2;1;18;2;0;1;2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
0;1;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;16;2;1;ruim
4;1;2;2;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
3;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;9;16;2;1;bom
3;0;0;1;18;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;9;16;2;1;ruim
4;1;2;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;7;7;2;0;ruim
3;1;0;1;19;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2;3;7;7;2;0;ruim
0;1;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;7;2;0;excelente
2;1;2;1;19;4;0;0;1;0;0;3;0;2;0;1;0;0;0;0;0;0;0;2;3;7;7;2;0;bom
0;1;2;2;19;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;2;3;7;7;2;0;bom
2;1;2;1;19;1;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;2;3;7;7;2;0;ruim
0;1;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;7;2;0;ruim
5;1;2;1;19;1;0;2;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;2;3;7;7;2;0;ruim
3;1;0;1;19;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;7;7;2;0;ruim
1;1;2;1;19;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;7;7;2;0;ruim
0;1;1;1;19;0;1;1;5;0;0;3;0;6;1;0;0;1;0;0;0;0;0;2;3;7;7;2;0;excelente
5;1;0;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;7;7;2;0;ruim
